super_area,latitude,longitude,super_area_name
D01001,54.820334226591655,9.45329777091605,Flensburg
D01002,54.35074121757122,10.160200690684313,Kiel
D01003,53.87249739382248,10.727549484010332,Luebeck
D01004,54.08112742577809,9.98447240456782,Neumuenster
D01051,54.12444493833107,8.861878991578868,Dithmarschen
D01053,53.589071682152785,10.601860319912133,Herzogtum Lauenburg
D01054,54.61530884983771,8.893967371288747,Nordfriesland
D01055,54.189283941881335,10.818929234553156,Ostholstein
D01056,54.18068582619182,7.897197215061758,Pinneberg
D01057,54.41266964917428,10.253871736258416,Ploen
D01058,54.289619243372144,9.781739215551355,Rendsburg-Eckernfoerde
D01059,54.72762110342281,9.712253137547103,Schleswig-Flensburg
D01060,53.919984365735296,10.140919905108877,Segeberg
D01061,53.924368659539496,9.514012392589779,Steinburg
D01062,53.72080938993369,10.331641320306538,Stormarn
D02000,53.54765266551465,10.011885871038524,Hamburg
D03101,52.27524564755493,10.524133767594373,Braunschweig
D03102,52.12447207300214,10.370745092613896,Salzgitter
D03103,52.410756213957825,10.784893539522418,Wolfsburg
D03151,52.58025764875449,10.604174230958126,Gifhorn
D03152,51.498942190729416,9.926313239995736,Goettingen
D03153,51.87467795985727,10.400402438010927,Goslar
D03154,52.26080308969825,10.88880873734193,Helmstedt
D03155,51.742570782803966,9.848031030160806,Northeim
D03156,51.67794325788585,10.371486020222275,Osterode am Harz
D03157,52.30419911854539,10.255283398963178,Peine
D03158,52.126977964847015,10.583945171550528,Wolfenbuettel
D03241,52.421911094943844,9.719699884781253,Hannover
D03251,52.72849968619494,8.701813280928704,Diepholz
D03252,52.095120867988435,9.389919297790026,Hameln-Pyrmont
D03254,52.09020475931034,9.943499434259637,Hildesheim
D03255,51.880590844562654,9.551390307125684,Holzminden
D03256,52.60925960142613,9.11434999614946,Nienburg (Weser)
D03257,52.292811577471745,9.206569396696832,Schaumburg
D03351,52.71328874824946,10.103516380465267,Celle
D03352,53.61672168963446,8.812273516288533,Cuxhaven
D03353,53.31582152160569,9.962718955444362,Harburg
D03354,53.019907817391655,11.122803153753132,Luechow-Dannenberg
D03355,53.232589201020325,10.57326846320852,Lueneburg
D03356,53.251008821698406,8.80808668454785,Osterholz
D03357,53.25067895898343,9.30666917303785,Rotenburg (Wuemme)
D03358,52.92832821246891,9.769537123990736,Soltau-Fallingbostel
D03359,53.59316863199265,9.411307844368665,Stade
D03360,52.98364574886722,10.54749928013127,Uelzen
D03361,52.97323261484139,9.175501650099786,Verden
D03401,53.04947849276918,8.645666946598553,Delmenhorst
D03402,53.36109415315854,7.180676737873689,Emden
D03403,53.144574137999754,8.224344685835412,Oldenburg (Oldb)
D03404,52.277668191947,8.046968636922465,Osnabrueck
D03405,53.56689805914688,8.087456266017059,Wilhelmshaven
D03451,53.21850350221193,8.013207937715658,Ammerland
D03452,53.63201048187821,7.152252376164684,Aurich
D03453,52.91098421476731,7.904799956066141,Cloppenburg
D03454,52.73832977686102,7.402658137401318,Emsland
D03455,53.7063698771574,7.9465767326847825,Friesland
